Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Current Charges,Current Charges Reliability,Current Charges Accuracy,Current Charges Privacy,Current Charges Volitionality,Current Charges Causes Outcome,Current Charges Causes Cycle,Current Charges Causes Disparity,Current Charges Caused by Group,Criminal History,Criminal History Reliability,Criminal History Accuracy,Criminal History Privacy,Criminal History Volitionality,Criminal History Causes Outcome,Criminal History Causes Cycle,Criminal History Causes Disparity,Criminal History Caused by Group,Substance Abuse,Substance Abuse Reliability,Substance Abuse Accuracy,Substance Abuse Privacy,Substance Abuse Volitionality,Substance Abuse Causes Outcome,Substance Abuse Causes Cycle,Substance Abuse Causes Disparity,Substance Abuse Caused by Group,Employment and Living,Employment and Living Reliability,Employment and Living Accuracy,Employment and Living Privacy,Employment and Living Volitionality,Employment and Living Causes Outcome,Employment and Living Causes Cycle,Employment and Living Causes Disparity,Employment and Living Caused by Group,Personality,Personality Reliability,Personality Accuracy,Personality Privacy,Personality Volitionality,Personality Causes Outcome,Personality Causes Cycle,Personality Causes Disparity,Personality Caused by Group,Criminal Attitudes,Criminal Attitudes Reliability,Criminal Attitudes Accuracy,Criminal Attitudes Privacy,Criminal Attitudes Volitionality,Criminal Attitudes Causes Outcome,Criminal Attitudes Causes Cycle,Criminal Attitudes Causes Disparity,Criminal Attitudes Caused by Group,Neighbourhood,Neighbourhood Reliability,Neighbourhood Accuracy,Neighbourhood Privacy,Neighbourhood Volitionality,Neighbourhood Causes Outcome,Neighbourhood Causes Cycle,Neighbourhood Causes Disparity,Neighbourhood Caused by Group,Friends and Family,Friends and Family Reliability,Friends and Family Accuracy,Friends and Family Privacy,Friends and Family Volitionality,Friends and Family Causes Outcome,Friends and Family Causes Cycle,Friends and Family Causes Disparity,Friends and Family Caused by Group,Social Life,Social Life Reliability,Social Life Accuracy,Social Life Privacy,Social Life Volitionality,Social Life Causes Outcome,Social Life Causes Cycle,Social Life Causes Disparity,Social Life Caused by Group,Education,Education Reliability,Education Accuracy,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group
1697,864,60-69,High School,Female,,25000-50000,false,false,false,true,false,,rec,fairness first,Unfair,Strongly Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Somewhat Agree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,,Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Strongly Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Unfair,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree
1702,2221,70 up,High School,Female,,<25000,false,false,false,true,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Unfair,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Fair,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Very Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Very Unfair,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Very Unfair,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree
1707,1743,30-39,Bachelor,Female,,<25000,false,false,false,true,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Disagree,,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Fair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Very Unfair,Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Very Unfair,Strongly Disagree,Somewhat Agree,,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Very Unfair,Disagree,Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Very Unfair,Strongly Disagree,Strongly Disagree,,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Very Unfair,Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral
1709,1839,18-29,Bachelor,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Somewhat Unfair,Somewhat Agree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Disagree,Agree,Somewhat Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Unfair,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Unfair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Unfair,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Somewhat Fair,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree
1719,2766,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,rec,fairness first,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Fair,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Unfair,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral
1722,627,30-39,Bachelor,Female,,<25000,false,false,false,true,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Disagree,Somewhat Agree,Neutral,Very Fair,Agree,Strongly Agree,Neutral,Disagree,Somewhat Agree,Neutral,Agree,Strongly Agree,Somewhat Fair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Very Unfair,Agree,Agree,Disagree,Somewhat Agree,Neutral,Agree,Agree,Somewhat Agree,Very Fair,Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Unfair,Strongly Agree,Agree,Strongly Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Disagree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Agree,Very Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree
1723,3297,50-59,Bachelor,Female,,25000-50000,false,false,false,true,false,,rec,fairness first,,Strongly Agree,Strongly Agree,,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Strongly Agree,,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree
1727,1051,30-39,Bachelor,Female,,50000-75000,false,false,false,true,true,,rec,properties first,Somewhat Fair,Somewhat Agree,Neutral,Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Agree,Very Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Very Fair,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Neutral,Very Unfair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Agree
1729,1854,30-39,Bachelor,Female,,<25000,false,false,false,true,false,,rec,properties first,Somewhat Fair,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Very Fair,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Fair,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
1730,1815,18-29,Graduate,Female,,25000-50000,false,true,false,false,false,,rec,fairness first,Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Very Unfair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Very Unfair,Somewhat Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Very Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Very Unfair,Agree,Neutral,Somewhat Agree,Neutral,Agree,Agree,Neutral,Somewhat Agree,Very Fair,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree
1732,763,18-29,Bachelor,Female,,25000-50000,false,true,false,false,false,,rec,fairness first,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
1734,923,30-39,High School,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Fair,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Neutral,Disagree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Very Unfair,Disagree,Disagree,Agree,Disagree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Somewhat Agree,Neutral,Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Somewhat Fair,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Unfair,Disagree,Somewhat Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Very Unfair,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Neutral
1739,635,30-39,Graduate,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Very Fair,Agree,Strongly Agree,Somewhat Agree,Neutral,Agree,Agree,Neutral,Neutral,Somewhat Unfair,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Unfair,Agree,Agree,Somewhat Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Somewhat Fair,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Neutral,Neutral,Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Neutral,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Unfair,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
1741,2255,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Neutral,Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Neutral,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Agree,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Agree,Somewhat Disagree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Agree,Unfair,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Very Unfair,Agree,Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
1743,679,18-29,Graduate,Female,,>100000,false,false,false,true,true,,rec,properties first,Very Fair,Somewhat Agree,Strongly Agree,Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Somewhat Unfair,Somewhat Agree,Agree,Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Strongly Disagree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Fair,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Somewhat Agree,Neutral,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Fair,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
1748,1260,40-49,Bachelor,Female,,25000-50000,false,false,false,true,false,,rec,fairness first,Fair,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Fair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Fair,Neutral,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Unfair,Somewhat Disagree,Neutral,Agree,Strongly Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Unfair,Disagree,Neutral,Agree,Agree,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Very Unfair,Agree,Disagree,Agree,Somewhat Agree,Strongly Disagree,Agree,Agree,Somewhat Agree
1749,2077,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,rec,fairness first,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Fair,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Disagree,Disagree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Fair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Fair,Disagree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Unfair,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Very Unfair,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Unfair,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree
1752,900,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Agree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Unfair,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Very Fair,Agree,Agree,Neutral,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree
1760,1217,30-39,Bachelor,Female,,25000-50000,false,false,true,false,false,,rec,fairness first,Very Fair,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Unfair,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Very Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Unfair,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
