Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount,Loan Amount Reliability,Loan Amount Accuracy,Loan Amount Privacy,Loan Amount Volitionality,Loan Amount Causes Outcome,Loan Amount Causes Cycle,Loan Amount Causes Disparity,Loan Amount Caused by Group,Income,Income Reliability,Income Accuracy,Income Privacy,Income Volitionality,Income Causes Outcome,Income Causes Cycle,Income Causes Disparity,Income Caused by Group,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Accuracy,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Dependents,Dependents Reliability,Dependents Accuracy,Dependents Privacy,Dependents Volitionality,Dependents Causes Outcome,Dependents Causes Cycle,Dependents Causes Disparity,Dependents Caused by Group,Education,Education Reliability,Education Accuracy,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Employment,Employment Reliability,Employment Accuracy,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Accuracy,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Property,Property Reliability,Property Accuracy,Property Privacy,Property Volitionality,Property Causes Outcome,Property Causes Cycle,Property Causes Disparity,Property Caused by Group
2080,1310,18-29,Bachelor,Male,,25000-50000,false,false,false,false,true,,loan,properties first,,Agree,Neutral,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Fair,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Very Fair,Agree,Somewhat Agree,Strongly Agree,,Somewhat Agree,Neutral,Somewhat Agree,Agree,Very Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Agree,,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Unfair,Neutral,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Very Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree
2082,1865,30-39,Graduate,Male,,25000-50000,false,true,false,false,false,,loan,fairness first,Fair,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Very Fair,Agree,Agree,Neutral,Somewhat Disagree,Agree,Agree,Somewhat Agree,Neutral,Fair,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,Agree,Agree,Fair,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Unfair,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Fair,Agree,Agree,Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Agree,Agree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Agree
2083,1016,30-39,Bachelor,Female,,75000-100000,false,false,true,false,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Very Unfair,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Very Unfair,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
2084,769,18-29,Bachelor,Male,,75000-100000,false,true,false,false,false,,loan,properties first,Somewhat Fair,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Agree,Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree
2086,2897,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,loan,fairness first,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,,,,,,,,,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree
2089,2523,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,loan,properties first,Somewhat Unfair,Somewhat Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Very Fair,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Fair,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral
2090,2186,30-39,Bachelor,Male,,25000-50000,false,false,true,false,false,,loan,fairness first,Somewhat Unfair,Agree,Somewhat Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Unfair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Unfair,Somewhat Agree,Somewhat Agree,,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Fair,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree
2091,2418,30-39,Bachelor,Male,,50000-75000,false,false,true,false,false,,loan,properties first,Very Fair,Agree,Agree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Very Fair,Disagree,Disagree,Agree,Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Very Fair,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat Agree,Disagree,Very Fair,Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Agree,Disagree,Very Fair,Agree,Somewhat Agree,Disagree,Agree,Neutral,Agree,Agree,Somewhat Disagree,Somewhat Fair,Disagree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Very Fair,Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Agree,Disagree,Very Fair,Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Very Unfair,Disagree,Disagree,Agree,,Disagree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat Agree,Disagree
2092,1167,30-39,Associate or Diploma,Male,,50000-75000,false,false,true,false,false,,loan,properties first,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Disagree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Fair,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Agree,Somewhat Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Disagree
2094,502,30-39,Graduate,Female,,50000-75000,false,false,true,false,false,,loan,properties first,Somewhat Fair,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Fair,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Fair,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Fair,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree
2098,1565,18-29,Graduate,Male,,25000-50000,false,true,false,false,false,,loan,fairness first,Fair,Neutral,Somewhat Agree,Neutral,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Unfair,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Fair,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Fair,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Fair,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Disagree,Neutral,Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Very Fair,Neutral,Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Fair,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Agree,Somewhat Disagree,Neutral
2103,888,18-29,High School,Male,,>100000,false,false,false,false,true,,loan,properties first,Fair,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Very Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Very Unfair,Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Very Unfair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
2105,580,30-39,Bachelor,Male,,50000-75000,false,false,true,false,false,,loan,properties first,Fair,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Fair,Agree,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Very Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree
2106,2567,18-29,Bachelor,Male,,>100000,false,true,false,false,false,,loan,properties first,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,,Somewhat Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree
2108,768,30-39,Bachelor,Male,,25000-50000,false,false,true,false,false,,loan,fairness first,Very Fair,Strongly Agree,Agree,Strongly Disagree,Agree,Neutral,Neutral,Somewhat Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Fair,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Neutral,Strongly Disagree,Somewhat Disagree,Disagree,Neutral,Disagree,Disagree,Somewhat Fair,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Agree,Disagree,Disagree,Agree,Neutral,Strongly Disagree,Disagree,Very Fair,Strongly Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree
2110,1217,18-29,Bachelor,Female,,<25000,false,true,false,false,false,,loan,fairness first,Neutral,Neutral,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Fair,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
2111,2691,18-29,Bachelor,Male,,75000-100000,false,true,false,false,false,,loan,properties first,Very Fair,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Unfair,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Unfair,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Unfair,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Unfair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Unfair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Unfair,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree
