Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Employment,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,History of Health,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
950,472,40-49,Associate or Diploma,Male,,25000-50000,false,false,false,false,true,,ins,fairness first,Neutral,Strongly Agree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Very Unfair,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Fair,Agree,Neutral,Disagree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Unfair,Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Unfair,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Somewhat Agree,Disagree
952,326,30-39,Graduate,Male,,75000-100000,false,true,false,false,false,,ins,fairness first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Fair,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
953,567,50-59,High School,Female,,25000-50000,false,false,true,false,false,,ins,fairness first,Unfair,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Very Unfair,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Very Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Unfair,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree
954,386,30-39,Bachelor,Male,,>100000,false,true,false,true,false,,ins,properties first,Somewhat Unfair,Agree,Agree,Somewhat Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Unfair,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Very Unfair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Very Unfair,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
969,1421,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,ins,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Fair,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Somewhat Agree,Agree,Unfair,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree
970,825,30-39,Bachelor,Female,,50000-75000,false,false,true,false,false,,ins,properties first,Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Disagree,Strongly Disagree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Somewhat Agree,Very Unfair,Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Fair,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Neutral,Somewhat Unfair,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree
973,493,60-69,Associate or Diploma,Female,,25000-50000,false,true,false,false,false,,ins,fairness first,Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Strongly Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Unfair,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Unfair,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Unfair,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Unfair,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Fair,Agree,Strongly Agree,Somewhat Agree,Agree,,Somewhat Agree,Somewhat Agree,Agree
985,866,60-69,Bachelor,Female,,25000-50000,false,false,true,false,false,,ins,fairness first,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Unfair,Agree,,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
988,624,30-39,Associate or Diploma,Female,,25000-50000,false,false,true,false,false,,ins,fairness first,Somewhat Unfair,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Very Unfair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Unfair,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Unfair,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Very Unfair,Somewhat Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Somewhat Unfair,Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree
990,620,18-29,High School,Male,,25000-50000,false,true,false,true,false,,ins,properties first,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Neutral,Agree,Neutral,Unfair,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Neutral,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
991,773,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,ins,fairness first,Very Fair,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Agree,Disagree,Disagree,Somewhat Agree,,Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Disagree,Very Fair,Somewhat Disagree,Strongly Agree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Disagree,Neutral,Agree,Agree,Unfair,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree
997,776,18-29,Bachelor,Male,,75000-100000,false,true,false,false,false,,ins,fairness first,Very Unfair,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Very Unfair,Somewhat Disagree,Strongly Disagree,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Very Unfair,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Very Unfair,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Agree,Very Unfair,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Disagree,Somewhat Agree,Agree,Somewhat Agree,Very Unfair,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Unfair,Disagree,Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree
999,421,30-39,Bachelor,Male,,50000-75000,false,true,false,true,false,,ins,fairness first,Fair,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Somewhat Fair,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
