Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount,Loan Amount Reliability,Loan Amount Relevance,Loan Amount Privacy,Loan Amount Volitionality,Loan Amount Causes Outcome,Loan Amount Causes Cycle,Loan Amount Causes Disparity,Loan Amount Caused by Group,Income,Income Reliability,Income Relevance,Income Privacy,Income Volitionality,Income Causes Outcome,Income Causes Cycle,Income Causes Disparity,Income Caused by Group,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Dependents,Dependents Reliability,Dependents Relevance,Dependents Privacy,Dependents Volitionality,Dependents Causes Outcome,Dependents Causes Cycle,Dependents Causes Disparity,Dependents Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Employment,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Property,Property Reliability,Property Relevance,Property Privacy,Property Volitionality,Property Causes Outcome,Property Causes Cycle,Property Causes Disparity,Property Caused by Group
541,3248,40-49,Bachelor,Nonbinary,Agender,25000-50000,false,false,false,true,false,,loan,properties first,Very Unfair,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
543,2196,18-29,High School,Female,,>100000,false,false,false,true,false,,loan,fairness first,Very Fair,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Very Fair,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Disagree,Disagree,Fair,Strongly Agree,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Fair,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Disagree,Neutral,Disagree,Somewhat Disagree,Very Fair,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Neutral,Disagree,Disagree,Fair,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Strongly Disagree,Disagree
547,2016,50-59,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Strongly Agree,Disagree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Disagree,Agree,Somewhat Fair,Agree,Somewhat Agree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Strongly Disagree,Very Unfair,Somewhat Agree,Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Unfair,Strongly Agree,Disagree,Disagree,Strongly Agree,Somewhat Disagree,Neutral,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Unfair,Disagree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Neutral,Somewhat Agree,Agree,Very Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree
549,322,40-49,Bachelor,Female,,>100000,false,false,false,true,false,,loan,fairness first,Fair,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Very Unfair,Agree,Strongly Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Unfair,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree
550,868,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Neutral,Disagree,Disagree,Fair,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Disagree,Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,,Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neutral,Fair,Somewhat Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Unfair,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
853,711,50-59,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,fairness first,Somewhat Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Fair,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Unfair,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Unfair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Unfair,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Strongly Agree,Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral
855,773,50-59,Associate or Diploma,Female,,>100000,false,false,false,true,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
856,571,30-39,Bachelor,Female,,<25000,false,false,true,false,false,,loan,fairness first,Fair,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Unfair,Strongly Agree,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Neutral,Very Unfair,Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Very Unfair,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Agree,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
857,366,40-49,Graduate,Female,,75000-100000,false,false,false,true,false,,loan,properties first,Fair,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Unfair,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Unfair,Agree,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Unfair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Agree,Agree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,,Disagree,,Disagree,Disagree,,Somewhat Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Disagree,Disagree,Fair,Agree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Disagree
859,353,40-49,Graduate,Female,,>100000,false,false,false,true,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Very Unfair,Strongly Agree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Disagree,Unfair,Agree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Fair,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Fair,Strongly Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree
865,514,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Somewhat Fair,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Agree,Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Very Unfair,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Disagree,Very Unfair,Somewhat Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Unfair,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Unfair,Agree,Neutral,Somewhat Disagree,Agree,Disagree,Agree,Somewhat Agree,Neutral,Fair,Somewhat Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree
866,616,50-59,Bachelor,Female,,<25000,false,false,false,true,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neutral,Very Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Agree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Disagree,Unfair,Somewhat Agree,Somewhat Disagree,Agree,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Neutral,Somewhat Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
867,627,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,properties first,Fair,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Agree,Neutral,Neutral,Neutral,Fair,Somewhat Agree,Agree,Strongly Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Fair,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Agree,Disagree,Neutral,Somewhat Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree
868,1751,30-39,Graduate,Female,,25000-50000,false,true,false,false,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Disagree,Disagree,Disagree,Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree
