Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount,Loan Amount Reliability,Loan Amount Relevance,Loan Amount Privacy,Loan Amount Volitionality,Loan Amount Causes Outcome,Loan Amount Causes Cycle,Loan Amount Causes Disparity,Loan Amount Caused by Group,Income,Income Reliability,Income Relevance,Income Privacy,Income Volitionality,Income Causes Outcome,Income Causes Cycle,Income Causes Disparity,Income Caused by Group,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Dependents,Dependents Reliability,Dependents Relevance,Dependents Privacy,Dependents Volitionality,Dependents Causes Outcome,Dependents Causes Cycle,Dependents Causes Disparity,Dependents Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Employment,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Property,Property Reliability,Property Relevance,Property Privacy,Property Volitionality,Property Causes Outcome,Property Causes Cycle,Property Causes Disparity,Property Caused by Group
871,551,18-29,Bachelor,Female,,>100000,false,false,true,false,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Strongly Agree,Strongly Agree,Unfair,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Neutral,Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral
873,1288,40-49,Associate or Diploma,Female,,75000-100000,false,false,false,true,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree
876,773,18-29,Graduate,Female,,75000-100000,false,true,false,false,false,,loan,properties first,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Very Fair,Strongly Agree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Agree,Agree,Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Fair,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral
877,2462,50-59,Bachelor,Female,,>100000,false,false,false,true,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Unfair,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Unfair,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Unfair,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Unfair,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
878,763,70 up,Graduate,,,50000-75000,false,false,false,true,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,,,Fair,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Very Fair,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,,Strongly Agree,Strongly Agree,,Agree,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree
879,462,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Unfair,Strongly Agree,Disagree,Disagree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Disagree,Neutral,Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Fair,Agree,Strongly Agree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Disagree
881,584,40-49,High School,Female,,<25000,false,false,false,true,false,,loan,properties first,Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Somewhat Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Agree,Agree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
882,1325,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Fair,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Very Fair,Strongly Agree,,Strongly Disagree,Disagree,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Fair,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree
883,428,50-59,Graduate,Female,,>100000,false,true,false,false,false,,loan,fairness first,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,
886,1850,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,properties first,Very Fair,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Somewhat Disagree,Disagree,Fair,Agree,Agree,Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Disagree,Somewhat Unfair,Agree,Somewhat Disagree,Neutral,Strongly Disagree,Disagree,Somewhat Agree,Agree,Strongly Agree,Very Unfair,Agree,Disagree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Unfair,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Agree,Disagree,Fair,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Fair,Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Fair,Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Disagree
887,610,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Fair,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,,Neutral,Somewhat Fair,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Fair,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,,,,,,,,,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree
889,2448,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,true,,loan,fairness first,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Fair,Neutral,Somewhat Disagree,,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Unfair,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Fair,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Fair,,,,,,,,,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
894,481,30-39,Bachelor,Female,,>100000,false,false,false,true,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Very Unfair,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Very Unfair,Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree
898,1336,30-39,Graduate,Female,,<25000,false,true,false,false,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Somewhat Fair,Agree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Somewhat Unfair,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral
900,522,50-59,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,fairness first,Very Fair,Agree,Agree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Disagree,Agree,Neutral,Somewhat Disagree,Agree,Agree,Agree,Agree,Unfair,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Agree,,Very Unfair,Agree,Strongly Disagree,Disagree,Disagree,,Agree,Agree,Agree,Unfair,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Fair,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Agree,Fair,Disagree,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Fair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree
901,677,30-39,High School,Female,,<25000,false,false,false,true,false,,loan,properties first,Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Agree,Strongly Disagree,Very Fair,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Very Unfair,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Unfair,Agree,Somewhat Agree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Unfair,Strongly Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Very Unfair,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Agree,Somewhat Disagree,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Disagree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Fair,Somewhat Agree,Agree,Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Disagree
