Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Current Charges,Current Charges Reliability,Current Charges Privacy,Current Charges Volitionality,Current Charges Causes Outcome,Current Charges Causes Cycle,Current Charges Causes Disparity,Current Charges Caused by Group,Criminal History,Criminal History Reliability,Criminal History Privacy,Criminal History Volitionality,Criminal History Causes Outcome,Criminal History Causes Cycle,Criminal History Causes Disparity,Criminal History Caused by Group,Substance Abuse,Substance Abuse Reliability,Substance Abuse Privacy,Substance Abuse Volitionality,Substance Abuse Causes Outcome,Substance Abuse Causes Cycle,Substance Abuse Causes Disparity,Substance Abuse Caused by Group,Employment and Living,Employment and Living Reliability,Employment and Living Privacy,Employment and Living Volitionality,Employment and Living Causes Outcome,Employment and Living Causes Cycle,Employment and Living Causes Disparity,Employment and Living Caused by Group,Personality,Personality Reliability,Personality Privacy,Personality Volitionality,Personality Causes Outcome,Personality Causes Cycle,Personality Causes Disparity,Personality Caused by Group,Criminal Attitudes,Criminal Attitudes Reliability,Criminal Attitudes Privacy,Criminal Attitudes Volitionality,Criminal Attitudes Causes Outcome,Criminal Attitudes Causes Cycle,Criminal Attitudes Causes Disparity,Criminal Attitudes Caused by Group,Neighbourhood,Neighbourhood Reliability,Neighbourhood Privacy,Neighbourhood Volitionality,Neighbourhood Causes Outcome,Neighbourhood Causes Cycle,Neighbourhood Causes Disparity,Neighbourhood Caused by Group,Friends and Family,Friends and Family Reliability,Friends and Family Privacy,Friends and Family Volitionality,Friends and Family Causes Outcome,Friends and Family Causes Cycle,Friends and Family Causes Disparity,Friends and Family Caused by Group,Social Life,Social Life Reliability,Social Life Privacy,Social Life Volitionality,Social Life Causes Outcome,Social Life Causes Cycle,Social Life Causes Disparity,Social Life Caused by Group,Education,Education Reliability,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group
1065,3282,30-39,Bachelor,Male,,50000-75000,false,false,true,false,false,,rec,fairness first,Very Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
1066,1462,30-39,Bachelor,Male,,75000-100000,false,false,false,false,true,,rec,fairness first,Very Fair,Strongly Agree,Neutral,Strongly Disagree,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Somewhat Fair,Neutral,Disagree,Neutral,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Somewhat Fair,Agree,Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Disagree,Neutral,Agree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Disagree,,Strongly Disagree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Unfair,Strongly Agree,Neutral,Strongly Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree
1067,698,18-29,High School,Male,,>100000,false,false,true,true,false,,rec,fairness first,Somewhat Fair,Agree,Disagree,Strongly Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Unfair,Strongly Agree,Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Unfair,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Very Unfair,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Very Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Very Unfair,Agree,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree
1069,2001,30-39,Associate or Diploma,Female,,25000-50000,false,false,true,false,false,,rec,properties first,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Unfair,Agree,Agree,,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Agree,,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Very Unfair,Neutral,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Unfair,Agree,Disagree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Strongly Agree,Very Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Very Unfair,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
1071,1855,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,rec,fairness first,Fair,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Fair,Agree,Neutral,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Somewhat Agree,Neutral,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,Neutral,Fair,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Agree,Agree,Neutral,Agree,Neutral,Somewhat Agree,Neutral,Fair,Agree,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Fair,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Fair,Somewhat Agree,Neutral,Agree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Neutral,Somewhat Agree,Agree
1077,3209,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,false,true,,rec,fairness first,Somewhat Fair,Agree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Disagree,Fair,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Fair,Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Unfair,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Unfair,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Very Unfair,Disagree,Somewhat Disagree,,Strongly Disagree,Disagree,Somewhat Disagree,Somewhat Disagree
1082,1979,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,rec,properties first,Very Fair,Strongly Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Fair,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Unfair,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Fair,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Unfair,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Somewhat Unfair,Neutral,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Unfair,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
1084,2015,50-59,Bachelor,Female,,50000-75000,false,false,false,false,true,,rec,properties first,Neutral,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Unfair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Unfair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Unfair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
1089,765,50-59,Associate or Diploma,Female,,75000-100000,false,true,false,false,false,,rec,fairness first,Fair,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Very Fair,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Fair,Agree,Disagree,Agree,Somewhat Agree,Neutral,Disagree,Disagree,Somewhat Fair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Fair,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Fair,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Agree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Somewhat Agree,Agree,,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Neutral
1096,1138,18-29,Bachelor,Male,,>100000,false,false,true,true,false,,rec,properties first,Fair,Agree,Disagree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Disagree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Disagree,Agree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Fair,Somewhat Disagree,Disagree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Fair,Neutral,Agree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Agree,Neutral,Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Fair,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Very Unfair,Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree
1097,338,30-39,Bachelor,Male,,50000-75000,false,false,true,false,false,,rec,fairness first,Very Fair,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Disagree,Neutral,Somewhat Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Disagree,Agree,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Agree,Somewhat Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1100,2413,18-29,Bachelor,Female,,25000-50000,false,true,false,false,false,,rec,fairness first,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Neutral,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Fair,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree
1103,2674,40-49,High School,Male,,<25000,true,false,true,false,false,,rec,fairness first,Very Fair,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Fair,Agree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Fair,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Fair,Agree,Disagree,Agree,Somewhat Agree,Neutral,Neutral,Agree,Very Fair,Agree,Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Fair,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Fair,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Agree
1105,1728,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,rec,properties first,Somewhat Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Very Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree
1110,2705,18-29,High School,Male,,25000-50000,false,false,true,false,false,,rec,properties first,Very Fair,Strongly Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Very Fair,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Fair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,,Somewhat Disagree,Disagree,Disagree,Fair,Agree,Neutral,,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Fair,Agree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Fair,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Unfair,Strongly Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Agree,Unfair,Agree,Agree,Disagree,,Somewhat Agree,Agree,Disagree,Somewhat Fair,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Unfair,Strongly Agree,Strongly Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral
