Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Education,Education Reliability,Education Accuracy,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Work History,Work History Reliability,Work History Accuracy,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Skills,Skills Reliability,Skills Accuracy,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Disability,Disability Reliability,Disability Accuracy,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Time Unemployed,Time Unemployed Reliability,Time Unemployed Accuracy,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Residence,Residence Reliability,Residence Accuracy,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Reason,Reason Reliability,Reason Accuracy,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Initiative,Initiative Reliability,Initiative Accuracy,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group
1772,1687,60-69,Bachelor,Male,,50000-75000,false,false,false,false,false,WHITE,unem,properties first,Fair,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Fair,,,,,,,,,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Agree,Neutral,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree
1774,962,40-49,Graduate,Male,,50000-75000,false,true,false,false,false,,unem,properties first,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Fair,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral
1776,1145,40-49,Graduate,Male,,>100000,false,true,false,false,false,,unem,fairness first,Somewhat Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Unfair,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Somewhat Disagree,Disagree,Unfair,Agree,Neutral,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Fair,Agree,Agree,Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Neutral,Unfair,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Neutral,Fair,Agree,Agree,Somewhat Agree,Disagree,Disagree,Neutral,Disagree,Somewhat Agree,Fair,Agree,Agree,Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Neutral,Unfair,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Disagree,Neutral,Disagree,Neutral
1784,2075,18-29,Associate or Diploma,Male,,<25000,true,false,false,false,false,,unem,fairness first,Unfair,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Disagree,Disagree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Very Unfair,Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Fair,Disagree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Unfair,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Neutral,Neutral,Disagree,Somewhat Agree,Somewhat Fair,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Disagree,Strongly Agree,Agree,Somewhat Agree,Agree,Disagree,Neutral,Somewhat Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Somewhat Fair,Disagree,Disagree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neutral,Somewhat Disagree,Agree,Strongly Agree
1786,1062,18-29,Bachelor,Male,,50000-75000,false,true,false,false,false,,unem,properties first,Somewhat Unfair,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Unfair,,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Neutral,,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Neutral,Agree,Neutral,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Very Unfair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Very Fair,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Unfair,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Very Fair,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Fair,Agree,Somewhat Disagree,Neutral,Neutral,,,,Agree
1792,1347,18-29,High School,Female,,50000-75000,false,true,false,false,false,,unem,properties first,Unfair,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Unfair,Somewhat Agree,Agree,Neutral,Strongly Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Somewhat Agree,Agree,Agree,Very Unfair,Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree
1794,651,18-29,Associate or Diploma,Female,,25000-50000,false,false,true,false,false,,unem,fairness first,Very Unfair,Strongly Agree,Somewhat Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Strongly Disagree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Fair,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree
1797,320,30-39,Bachelor,Male,,<25000,false,false,true,true,false,,unem,fairness first,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Very Unfair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Unfair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Fair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Unfair,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree
1804,317,18-29,Bachelor,Female,,75000-100000,false,false,true,true,false,,unem,fairness first,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Very Unfair,Agree,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Fair,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Agree,Agree,Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Somewhat Disagree,Very Fair,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Disagree,Disagree,Neutral,Neutral,Somewhat Agree,Strongly Agree,Agree,Agree,Very Unfair,Neutral,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Neutral,Neutral,Fair,Somewhat Disagree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree
1806,1076,18-29,Bachelor,Male,,75000-100000,false,false,true,false,false,,unem,fairness first,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Fair,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Fair,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Fair,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Disagree,Fair,Neutral,Somewhat Agree,Somewhat Agree,Strongly Disagree,Agree,Neutral,Neutral,Agree,Fair,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Unfair,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Fair,Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Somewhat Fair,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Somewhat Disagree
1809,2507,40-49,Bachelor,Male,,<25000,true,false,false,true,false,,unem,properties first,Unfair,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Agree,Agree,Disagree,Unfair,Somewhat Disagree,Somewhat Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Unfair,Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Agree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Unfair,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Very Unfair,Somewhat Agree,Disagree,Neutral,Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Fair,Somewhat Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree
1810,1217,18-29,Bachelor,Male,,50000-75000,false,false,true,false,false,,unem,properties first,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Unfair,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Fair,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Disagree,Somewhat Disagree,Fair,Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Agree,Somewhat Disagree,Neutral,Neutral,Neutral,,Neutral,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Unfair,Agree,Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,,Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1811,472,18-29,Bachelor,Male,,75000-100000,false,false,true,false,false,,unem,properties first,Very Unfair,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,,Very Fair,Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,,Disagree,Disagree,Somewhat Fair,Agree,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Very Fair,Neutral,Neutral,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Agree,Very Unfair,Neutral,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Unfair,Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Very Unfair,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Very Unfair,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Fair,Strongly Disagree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Neutral,Neutral
1819,823,40-49,Bachelor,Male,,25000-50000,false,true,false,false,false,,unem,properties first,Somewhat Unfair,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Fair,Agree,Agree,Strongly Disagree,Agree,Somewhat Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Disagree,Disagree,Somewhat Disagree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Agree,Somewhat Disagree,Neutral,Disagree,Neutral,Very Fair,Somewhat Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
