Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Race,Race Reliability,Race Relevance,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Hospital Treated,Hospital Treated Reliability,Hospital Treated Relevance,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Admission,Admission Reliability,Admission Relevance,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Number of Discharges,Number of Discharges Reliability,Number of Discharges Relevance,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,History of Health,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
531,1996,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,hos,fairness first,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Fair,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,,Neutral,Somewhat Agree,Neutral,Neutral,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree
535,2488,30-39,High School,Male,,50000-75000,false,false,false,true,true,,hos,properties first,Somewhat Fair,Neutral,Neutral,Agree,Strongly Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Somewhat Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Unfair,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Unfair,Neutral,Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Very Fair,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Disagree,Neutral,Neutral,Neutral
780,1625,40-49,Associate or Diploma,Male,,<25000,false,true,false,false,false,,hos,properties first,Fair,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Fair,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Fair,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Strongly Agree,Agree
789,399,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,hos,properties first,Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Very Fair,Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral
792,464,30-39,Associate or Diploma,Female,,50000-75000,false,true,false,false,false,,hos,fairness first,Somewhat Unfair,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Strongly Agree,Agree,Very Unfair,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Fair,Agree,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Neutral
793,505,40-49,Bachelor,Male,,25000-50000,false,true,false,false,false,,hos,properties first,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Very Unfair,Somewhat Agree,Disagree,Agree,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Fair,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Fair,Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Disagree,Fair,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree
803,879,40-49,Graduate,Male,,>100000,false,true,false,false,false,,hos,fairness first,Somewhat Fair,Strongly Agree,Agree,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Unfair,Strongly Agree,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Unfair,Strongly Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Strongly Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Agree,Agree,Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Agree,Neutral,Neutral,Somewhat Disagree,Fair,Somewhat Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree
804,2085,30-39,Bachelor,Female,,75000-100000,false,true,false,false,false,,hos,fairness first,Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Fair,Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree
809,840,70 up,Associate or Diploma,Male,,50000-75000,false,false,false,true,true,,hos,fairness first,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Agree,Disagree,Agree,Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Very Unfair,Somewhat Disagree,Disagree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree
810,507,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,hos,fairness first,Fair,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Unfair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Fair,Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Fair,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Fair,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
812,686,30-39,Associate or Diploma,Male,,50000-75000,false,false,true,true,false,,hos,properties first,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Unfair,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Unfair,Neutral,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Somewhat Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,,Strongly Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
814,1089,50-59,Associate or Diploma,Male,,<25000,false,false,true,false,false,,hos,fairness first,Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Unfair,Agree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Unfair,Agree,Somewhat Disagree,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Disagree,Fair,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Unfair,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Fair,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Disagree
818,1140,30-39,Associate or Diploma,Male,,25000-50000,false,true,false,false,false,,hos,properties first,Unfair,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Unfair,Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Very Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Fair,Agree,Strongly Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Fair,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,,Strongly Disagree,Strongly Disagree,Fair,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Disagree,Disagree,Disagree
819,2394,50-59,Graduate,Female,,25000-50000,false,true,false,false,false,,hos,fairness first,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Agree,Agree,Unfair,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Agree,Agree,Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,,,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
820,442,30-39,Bachelor,Male,,50000-75000,false,true,false,false,false,,hos,properties first,Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Agree,Agree,Very Unfair,Somewhat Disagree,Disagree,Agree,Strongly Disagree,Somewhat Disagree,Agree,Agree,Agree,Very Unfair,Somewhat Agree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Agree,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
827,575,40-49,Bachelor,Male,,<25000,false,true,false,true,false,,hos,properties first,Somewhat Fair,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Unfair,Agree,Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Unfair,Agree,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Fair,Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Disagree,Disagree,Fair,Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Very Fair,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Disagree,Disagree
837,1087,50-59,Associate or Diploma,Female,,25000-50000,false,false,true,false,false,,hos,fairness first,Fair,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Fair,Agree,Disagree,Strongly Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Fair,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Fair,Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree
840,803,50-59,Graduate,Male,,50000-75000,false,true,false,false,false,,hos,fairness first,Somewhat Fair,Agree,Agree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Unfair,Agree,Disagree,Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Neutral,Fair,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Agree,Neutral,Disagree,Disagree,Disagree,Fair,Agree,Agree,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Disagree,Disagree
841,3155,30-39,High School,Male,,25000-50000,false,false,false,false,true,,hos,properties first,Neutral,Agree,Agree,Somewhat Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Unfair,Agree,Agree,Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Unfair,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Fair,Agree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Fair,Agree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Very Fair,Agree,Agree,Agree,Disagree,Agree,,Neutral,Neutral
843,512,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,hos,fairness first,Fair,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree
844,869,40-49,Graduate,Female,,<25000,false,true,false,false,false,,hos,properties first,Somewhat Fair,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Unfair,Neutral,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Unfair,Strongly Agree,Somewhat Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Unfair,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Agree,Strongly Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree
845,609,40-49,Bachelor,Male,,50000-75000,false,false,true,false,false,,hos,properties first,Somewhat Fair,Agree,Somewhat Agree,Agree,Disagree,Agree,Neutral,Agree,Somewhat Disagree,Somewhat Fair,Agree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Fair,Agree,Neutral,Agree,Somewhat Agree,Neutral,Disagree,Somewhat Disagree,Neutral,Very Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Agree,Neutral,Somewhat Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Agree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Agree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree
846,706,40-49,Bachelor,Male,,50000-75000,false,false,true,false,false,,hos,fairness first,Very Fair,Strongly Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Fair,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Somewhat Disagree,Agree,Agree,Neutral,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Neutral,Agree,Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Agree,Somewhat Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree
848,1827,30-39,Graduate,Female,,25000-50000,false,true,false,false,false,,hos,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree
