Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Work History,Work History Reliability,Work History Relevance,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Skills,Skills Reliability,Skills Relevance,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Disability,Disability Reliability,Disability Relevance,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Time Unemployed,Time Unemployed Reliability,Time Unemployed Relevance,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Reason,Reason Reliability,Reason Relevance,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Initiative,Initiative Reliability,Initiative Relevance,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group
512,2189,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,unem,fairness first,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Unfair,Agree,Disagree,Strongly Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Agree,Neutral,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Very Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Disagree,Somewhat Disagree,Very Unfair,Somewhat Agree,Strongly Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Unfair,Neutral,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Disagree,Disagree,Neutral,Agree,Somewhat Disagree,Neutral,Disagree,Disagree
513,1930,50-59,Graduate,Female,,75000-100000,true,false,false,true,false,,unem,properties first,Neutral,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Strongly Disagree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Very Fair,Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Fair,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Very Unfair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral
635,1742,40-49,Graduate,Female,,>100000,false,false,true,false,false,,unem,fairness first,Somewhat Fair,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Somewhat Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Fair,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Agree,Disagree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Fair,Somewhat Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Fair,Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Unfair,Neutral,Disagree,Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Very Unfair,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree
636,1045,18-29,Bachelor,Male,,>100000,false,true,false,false,false,,unem,properties first,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Somewhat Disagree,Agree,,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Fair,Somewhat Agree,Agree,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Unfair,Agree,Neutral,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Somewhat Fair,Neutral,Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Neutral
640,1287,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,unem,properties first,Fair,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Fair,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Strongly Agree,Agree,Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Very Fair,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Fair,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree
642,1488,40-49,Bachelor,Female,,75000-100000,false,false,true,false,false,,unem,properties first,Unfair,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Very Unfair,Neutral,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Disagree,Agree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Very Unfair,Disagree,Somewhat Disagree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
645,1933,30-39,Bachelor,Male,,50000-75000,false,true,false,false,false,,unem,properties first,Very Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Agree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Fair,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Neutral,Fair,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Neutral,Very Fair,Strongly Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral
647,2571,30-39,Graduate,Male,,25000-50000,false,true,false,false,false,,unem,properties first,Neutral,Agree,Neutral,Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Very Fair,Strongly Agree,Agree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Agree,Somewhat Unfair,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Agree,Neutral,Somewhat Agree,Neutral,Agree,Neutral,Neutral,Somewhat Agree,Agree,Strongly Agree,Neutral,Agree,Somewhat Fair,Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree
648,1784,40-49,Graduate,Female,,50000-75000,false,true,false,false,false,,unem,properties first,Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Unfair,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree
651,459,50-59,Graduate,Female,,50000-75000,true,false,false,true,false,,unem,fairness first,Somewhat Fair,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Unfair,Strongly Agree,Neutral,Neutral,Agree,Agree,Somewhat Agree,Agree,Agree,Very Fair,Strongly Agree,Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Neutral,Neutral,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Very Unfair,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Disagree,Neutral,Neutral,Very Unfair,Strongly Disagree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Strongly Disagree,Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree
652,557,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,unem,fairness first,Somewhat Unfair,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Agree,Neutral,Somewhat Unfair,Agree,Neutral,Neutral,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Neutral,Somewhat Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Fair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Agree,Agree,Neutral,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Neutral,Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Neutral,Neutral,Agree,Agree,Somewhat Agree,Neutral
654,2349,18-29,Bachelor,Female,,<25000,false,false,true,false,false,,unem,properties first,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Agree,Very Unfair,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral
655,1237,50-59,Graduate,Female,,<25000,false,false,true,false,false,,unem,properties first,Somewhat Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,,Disagree,Agree,Somewhat Agree,Strongly Disagree,Very Unfair,Disagree,Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Fair,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Fair,Somewhat Agree,Agree,Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Somewhat Disagree,Neutral,Neutral,Disagree,,Somewhat Agree,Somewhat Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Fair,Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Very Unfair,Disagree,Disagree,Somewhat Agree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Agree,Fair,Neutral,Somewhat Agree,,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,,Somewhat Fair,Somewhat Agree,Agree,Neutral,Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree
