Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Work History,Work History Reliability,Work History Relevance,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Skills,Skills Reliability,Skills Relevance,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Disability,Disability Reliability,Disability Relevance,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Time Unemployed,Time Unemployed Reliability,Time Unemployed Relevance,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Reason,Reason Reliability,Reason Relevance,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Initiative,Initiative Reliability,Initiative Relevance,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group
658,1214,50-59,Bachelor,Female,,50000-75000,false,false,true,false,false,,unem,properties first,Very Unfair,Agree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Very Unfair,Somewhat Agree,Strongly Disagree,Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Unfair,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Agree,Neutral,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Unfair,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Unfair,Neutral,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Very Unfair,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Very Unfair,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Unfair,Disagree,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree
660,665,30-39,Graduate,Female,,25000-50000,false,true,false,false,false,,unem,properties first,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Very Fair,Agree,Somewhat Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Disagree,Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Disagree
661,1123,30-39,Associate or Diploma,Male,,<25000,false,true,false,false,false,,unem,properties first,Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Neutral
668,517,30-39,Bachelor,Male,,50000-75000,false,false,false,false,true,,unem,properties first,Very Unfair,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Very Unfair,Disagree,Strongly Disagree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Somewhat Disagree,Strongly Disagree,Disagree,Neutral,Fair,Agree,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Unfair,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Fair,Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
670,1938,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,unem,fairness first,Fair,Agree,Agree,Neutral,Neutral,Somewhat Agree,Disagree,Neutral,Neutral,Very Unfair,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Agree,Neutral,Fair,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Neutral,Fair,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Fair,Somewhat Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Neutral,Very Fair,Somewhat Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Somewhat Disagree,Neutral,Somewhat Fair,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Fair,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Fair,Neutral,Agree,Neutral,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Neutral
675,634,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,unem,fairness first,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Fair,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Fair,Agree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Unfair,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Unfair,Somewhat Agree,Neutral,Agree,Agree,Agree,Agree,,Agree
677,2228,30-39,High School,Male,,25000-50000,false,false,true,false,false,,unem,properties first,Somewhat Unfair,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Fair,Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Fair,Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Unfair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Agree,Unfair,Somewhat Agree,Neutral,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Unfair,Agree,Neutral,Somewhat Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree
679,1911,60-69,Associate or Diploma,Female,,<25000,false,false,true,false,false,,unem,properties first,Somewhat Unfair,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Neutral,Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Fair,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Unfair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Fair,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree
693,1821,30-39,Graduate,Male,,25000-50000,false,true,false,false,false,,unem,fairness first,Unfair,Disagree,Somewhat Disagree,Neutral,,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,Neutral,,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Agree,Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree,,Fair,Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Disagree,Disagree,Strongly Disagree,Very Fair,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Somewhat Agree,Strongly Disagree,Unfair,Somewhat Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Neutral,,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Disagree,Disagree
695,2001,30-39,Bachelor,Female,,50000-75000,false,false,false,false,true,,unem,fairness first,Very Unfair,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Very Unfair,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Agree,Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Agree,Strongly Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Very Fair,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Neutral,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Unfair,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Somewhat Fair,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Unfair,Neutral,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree
696,2241,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,unem,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Very Fair,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Very Fair,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Very Fair,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral
697,2600,30-39,Bachelor,Male,,25000-50000,false,true,false,false,false,,unem,properties first,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Neutral,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Unfair,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,,Unfair,Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Unfair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Unfair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree
700,1206,40-49,Associate or Diploma,Female,,25000-50000,false,false,true,false,false,,unem,fairness first,Somewhat Fair,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Agree,Neutral,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Somewhat Disagree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Neutral,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Disagree,Strongly Disagree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Agree,Agree,Agree
701,1268,60-69,Bachelor,Female,,75000-100000,false,false,false,true,true,,unem,fairness first,Fair,Agree,Agree,Somewhat Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Neutral,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Very Fair,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Fair,Agree,Neutral,Neutral,Neutral,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Fair,Disagree,Strongly Agree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree
702,2504,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,unem,fairness first,Somewhat Fair,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Neutral,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Fair,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Somewhat Agree,Neutral,Agree,Agree,Somewhat Disagree,Neutral,Agree,Disagree,Fair,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Neutral,Somewhat Fair,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Very Fair,Neutral,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Somewhat Unfair,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Agree,Very Fair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree
705,1371,30-39,Graduate,Male,,25000-50000,false,true,false,false,false,,unem,fairness first,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Very Fair,Strongly Agree,Agree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Somewhat Agree,Agree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Fair,Agree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Unfair,Agree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree
