Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Current Charges,Current Charges Reliability,Current Charges Relevance,Current Charges Privacy,Current Charges Volitionality,Current Charges Causes Outcome,Current Charges Causes Cycle,Current Charges Causes Disparity,Current Charges Caused by Group,Criminal History,Criminal History Reliability,Criminal History Relevance,Criminal History Privacy,Criminal History Volitionality,Criminal History Causes Outcome,Criminal History Causes Cycle,Criminal History Causes Disparity,Criminal History Caused by Group,Substance Abuse,Substance Abuse Reliability,Substance Abuse Relevance,Substance Abuse Privacy,Substance Abuse Volitionality,Substance Abuse Causes Outcome,Substance Abuse Causes Cycle,Substance Abuse Causes Disparity,Substance Abuse Caused by Group,Employment and Living,Employment and Living Reliability,Employment and Living Relevance,Employment and Living Privacy,Employment and Living Volitionality,Employment and Living Causes Outcome,Employment and Living Causes Cycle,Employment and Living Causes Disparity,Employment and Living Caused by Group,Personality,Personality Reliability,Personality Relevance,Personality Privacy,Personality Volitionality,Personality Causes Outcome,Personality Causes Cycle,Personality Causes Disparity,Personality Caused by Group,Criminal Attitudes,Criminal Attitudes Reliability,Criminal Attitudes Relevance,Criminal Attitudes Privacy,Criminal Attitudes Volitionality,Criminal Attitudes Causes Outcome,Criminal Attitudes Causes Cycle,Criminal Attitudes Causes Disparity,Criminal Attitudes Caused by Group,Neighbourhood,Neighbourhood Reliability,Neighbourhood Relevance,Neighbourhood Privacy,Neighbourhood Volitionality,Neighbourhood Causes Outcome,Neighbourhood Causes Cycle,Neighbourhood Causes Disparity,Neighbourhood Caused by Group,Friends and Family,Friends and Family Reliability,Friends and Family Relevance,Friends and Family Privacy,Friends and Family Volitionality,Friends and Family Causes Outcome,Friends and Family Causes Cycle,Friends and Family Causes Disparity,Friends and Family Caused by Group,Social Life,Social Life Reliability,Social Life Relevance,Social Life Privacy,Social Life Volitionality,Social Life Causes Outcome,Social Life Causes Cycle,Social Life Causes Disparity,Social Life Caused by Group,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group
501,814,40-49,High School,Female,,>100000,false,false,false,true,false,,rec,fairness first,Fair,Agree,Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Fair,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Strongly Agree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Very Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Unfair,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Strongly Agree,Agree,Somewhat Disagree,Very Unfair,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Disagree,Neutral,Agree,Somewhat Disagree,Agree,Somewhat Agree,Neutral
502,575,40-49,Bachelor,Male,,25000-50000,false,true,false,false,false,,rec,properties first,Somewhat Fair,Agree,Agree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Unfair,Neutral,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Neutral,Neutral,Unfair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Agree,Agree,Agree,Very Unfair,Agree,Somewhat Disagree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Very Unfair,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Neutral,Very Unfair,Somewhat Agree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral
503,809,30-39,Bachelor,Male,,<25000,false,false,false,true,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Somewhat Unfair,Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Unfair,Strongly Disagree,Strongly Disagree,Agree,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Agree,Unfair,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Strongly Agree,Disagree,Somewhat Disagree,Unfair,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Disagree,Disagree
504,1408,18-29,Bachelor,Female,,25000-50000,false,true,false,true,false,,rec,properties first,Very Fair,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Fair,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Unfair,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree
505,2306,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,rec,fairness first,Very Fair,Neutral,Strongly Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Very Unfair,Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Agree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Disagree,Agree,Very Fair,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Unfair,,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Very Fair,Agree,Agree,Strongly Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Unfair,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree
506,2012,50-59,Bachelor,Female,,>100000,false,false,false,true,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Unfair,Disagree,Somewhat Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree
507,3226,30-39,Graduate,Female,,<25000,false,false,false,true,false,,rec,properties first,Very Fair,Agree,Strongly Agree,Strongly Disagree,Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Fair,Agree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Fair,Somewhat Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Unfair,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Somewhat Unfair,Somewhat Disagree,Neutral,Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,Unfair,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Neutral,Disagree,Disagree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
508,766,30-39,High School,Male,,25000-50000,false,false,false,true,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Agree,Neutral,Neutral,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neutral,Agree,Neutral,Neutral,Very Unfair,Somewhat Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
509,936,40-49,High School,Female,,<25000,false,false,false,true,false,,rec,fairness first,Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Fair,Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Unfair,Somewhat Agree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Very Unfair,Disagree,Strongly Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Unfair,Disagree,Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Unfair,Somewhat Agree,Strongly Disagree,Neutral,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Somewhat Agree,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Somewhat Agree,Neutral,Very Unfair,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Disagree,Neutral,Neutral,Very Unfair,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
510,2120,30-39,Bachelor,Female,,50000-75000,false,false,true,false,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Very Fair,Somewhat Disagree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neutral,Very Unfair,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree
561,2535,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Unfair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Agree,Neutral,Neutral,Somewhat Fair,Agree,Agree,Neutral,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Disagree,Somewhat Agree,Neutral,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Neutral,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Agree,Neutral,Very Unfair,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Very Unfair,Agree,Somewhat Disagree,Neutral,Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral
562,667,30-39,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,rec,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
563,1819,60-69,High School,Female,,50000-75000,false,false,false,true,false,,rec,properties first,Very Fair,Agree,Strongly Agree,Neutral,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Fair,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Somewhat Disagree,Neutral,Fair,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Somewhat Agree,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Very Unfair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Very Unfair,Strongly Agree,Somewhat Disagree,Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neutral
