Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Employment,Employment Reliability,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Education,Education Reliability,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Residence,Residence Reliability,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,History of Health,History of Health Reliability,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
1602,555,50-59,High School,Female,,>100000,false,false,false,true,false,,ins,properties first,Somewhat Unfair,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Very Unfair,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Very Unfair,Disagree,Agree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Unfair,Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Very Unfair,Somewhat Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Unfair,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Somewhat Unfair,Disagree,Agree,Disagree,Somewhat Agree,Agree,Agree,Agree
1603,1695,30-39,Bachelor,Female,,50000-75000,false,false,true,false,false,,ins,properties first,Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Very Unfair,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Very Unfair,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral
1604,1851,30-39,Associate or Diploma,Female,,50000-75000,false,false,true,false,false,,ins,properties first,Somewhat Unfair,Strongly Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,,Neutral,Neutral,Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Unfair,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree
1605,2015,40-49,Graduate,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Fair,Strongly Agree,Disagree,Strongly Disagree,Agree,Somewhat Disagree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Strongly Agree,Unfair,Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Unfair,Strongly Agree,Disagree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Fair,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Agree,Agree
1606,847,40-49,Associate or Diploma,Female,,50000-75000,false,false,false,true,true,,ins,fairness first,Somewhat Fair,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Very Unfair,Somewhat Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Very Unfair,Neutral,Agree,Somewhat Agree,Neutral,Agree,Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree,Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Disagree,Somewhat Agree,Neutral,Neutral,Neutral
1607,1873,18-29,Associate or Diploma,Male,,<25000,false,true,false,false,false,,ins,fairness first,Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Fair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Somewhat Agree,Neutral,Agree,Agree,Strongly Agree,Very Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Very Fair,Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Fair,Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree
1608,1385,40-49,High School,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Very Unfair,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Very Unfair,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Unfair,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Unfair,Strongly Agree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Unfair,Neutral,Strongly Agree,Neutral,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree
1609,2301,50-59,Graduate,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Very Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Unfair,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Very Unfair,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Unfair,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral
1610,540,50-59,High School,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Agree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Disagree,Agree,Strongly Agree,Disagree,,Disagree,Somewhat Agree,Unfair,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Disagree,Very Unfair,Agree,Strongly Agree,,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Unfair,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Disagree,Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Unfair,Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
1611,698,30-39,Less than high School,Male,,<25000,false,false,false,true,false,,ins,fairness first,Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Unfair,Agree,Strongly Agree,Somewhat Agree,,Somewhat Disagree,Agree,Neutral,Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Strongly Agree,Strongly Agree,Agree,,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
1612,1882,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,fairness first,Fair,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Fair,Strongly Agree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Agree,Fair,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Very Unfair,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Fair,Somewhat Agree,Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Unfair,Strongly Agree,Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Agree,Fair,Somewhat Disagree,Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,Agree,Disagree
1613,792,30-39,Associate or Diploma,Male,,25000-50000,false,true,false,false,false,,ins,properties first,Very Fair,Agree,Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Fair,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Very Unfair,Neutral,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Unfair,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Unfair,Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Neutral,Somewhat Agree,Strongly Disagree,Very Unfair,Agree,Somewhat Disagree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Very Fair,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Neutral
1614,1809,30-39,Bachelor,Male,,75000-100000,false,true,false,false,false,,ins,fairness first,Fair,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Very Unfair,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Disagree,Unfair,Strongly Agree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Very Unfair,Disagree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Agree,Somewhat Fair,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Somewhat Agree,Disagree
1615,2043,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,ins,properties first,Very Fair,Strongly Agree,Somewhat Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Very Fair,Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Fair,Strongly Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Agree,Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Very Fair,Neutral,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree
1616,479,30-39,Bachelor,Male,,75000-100000,false,false,false,false,false,native american,ins,fairness first,Somewhat Unfair,Neutral,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Neutral,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Very Unfair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree
1617,472,60-69,High School,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Fair,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Unfair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Unfair,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Agree,Agree,Agree,Disagree,Disagree,Unfair,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Unfair,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Disagree,Agree,Agree,Agree,Agree
1618,1883,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,ins,properties first,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,,Agree,Agree,Agree,Neutral,Neutral,Neutral,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Very Fair,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Very Fair,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree
1619,1921,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Very Fair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Fair,Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Disagree,Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Fair,Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Very Fair,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Fair,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree
1620,300,60-69,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree
1621,2238,30-39,Bachelor,Male,,25000-50000,false,true,false,true,false,,ins,properties first,Somewhat Fair,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Very Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,,Neutral,Somewhat Agree,Somewhat Fair,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral
1622,1421,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Fair,Somewhat Agree,Disagree,Strongly Disagree,Strongly Agree,,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Strongly Disagree,Strongly Agree,Neutral,Agree,Somewhat Disagree,Disagree,Fair,Somewhat Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Fair,Agree,Disagree,Neutral,Somewhat Agree,Disagree,Neutral,Agree,Unfair,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Unfair,Somewhat Disagree,Disagree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Strongly Agree,Disagree,Agree,Somewhat Agree,Disagree,Neutral,Neutral,Very Fair,Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Disagree,Neutral,Neutral
1623,1229,30-39,High School,Male,,50000-75000,false,false,false,true,false,,ins,properties first,Fair,Somewhat Agree,Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Agree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Unfair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Unfair,Agree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Fair,Neutral,Neutral,Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree
1624,683,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Unfair,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Unfair,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Very Unfair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Fair,Agree,Neutral,Somewhat Agree,Neutral,Agree,Strongly Agree,Somewhat Agree,Very Unfair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree
1625,2211,18-29,Bachelor,Male,,>100000,false,true,false,false,false,,ins,fairness first,Fair,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Unfair,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Fair,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Agree,Somewhat Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Somewhat Fair,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Unfair,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree
1626,381,18-29,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,ins,fairness first,Fair,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Unfair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Unfair,Agree,Agree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
